Manufacturer,Model,Form factor
1&1,AEOP525,Phone
10.or,10or_G2,Phone
10.or,D,Phone
10.or,E,Phone
10.or,G,Phone
3ATech,T10-8128,Tablet
3nStar,Nustar65,Phone
3Rtablet,VT-7GE,Phone
8849,OB-A98,Phone
8849,OB-A99,Phone
8849,OB-P08,Tablet
8849,OB-P12,Tablet
8849,TANK MINI 1,Phone
8849,TANK X,Phone
8849,TANK2,Phone
8849,TANK2pro,Phone
A1,A1 Alpha 20+,Phone
A1,A1 Smart N9,Phone
A1,ADT-3,TV
A1,Ai-ES1059,Tablet
Aamra WE,A10,Phone
Aamra WE,A50,Phone
AAUW,M50,Tablet
AAUW,M50_NEW,Tablet
AAUW,M60_NEW,Tablet
AAUW,T10,Tablet
AAUW,T50_2023,Tablet
AAUW,T60Pro,Tablet
AAUW,T60Pro_2023,Tablet
AAUW,T90,Tablet
AAUW,T_50,Tablet
Aaztec,THAZ-65/75/86/98/110 PD,Tablet
ABCTECH,PG11,Tablet
ABCTECH,X20,Tablet
ABIL,A8,Phone
abxylute,abxylute_one,Phone
Accent,C5L PLUS,Phone
Accent,fast-10,Tablet
Accent,FAST10,Tablet
Accent,Fast10,Phone
Accent,Fast17,Tablet
Accent,FAST7,Phone
Accent,FAST73G,Phone
Accent,PEARL A4 Lite,Phone
Accent,Pearl A6,Phone
Accent,TANK_P55,Phone
ACD Computers,ACD-Tab-10S,Tablet
ACE (Global),AS0124,Phone
ACE (Global),AS0224,Phone
ACE (Global),AS0324,Phone
ACE (Global),AS0623,Phone
ACE (Global),BUZZ 3,Phone
ACE (Global),BUZZ 3 Plus,Phone
ACE (Global),BUZZ 4,Phone
ACE (Global),BUZZ 4 Prime,Phone
ACE (Global),BUZZ 4 Ultra,Phone
ACE (Global),BUZZ 5 Ultra,Phone
ACE (Global),BUZZ 6 Flip,Phone
ACE (Global),BUZZ 6 Prime,Phone
ACE (Global),BUZZ 6 Prime PLUS,Phone
ACE (Global),BUZZ 6 Pro PLUS,Phone
ACE (Global),BUZZ 6 Ultra,Phone
ACE (Global),BUZZ 7 Lite,Phone
ACE (Global),BUZZ 7 Pro,Phone
ACE (Global),BUZZ 7 Ultra,Phone
ACE (Global),CLEVER 3,Phone
ACE (Global),URBAN 3,Phone
ACE (Global),URBAN 3 Plus,Phone
ACE France,AS0218,Phone
ACE France,AS0518,Phone
ACE France,AS0618,Phone
ACE France,BUZZ 2,Phone
ACE France,BUZZ 3 Lite,Phone
ACE France,BUZZ 4Lite,Phone
ACE France,BUZZ 4Pro,Phone
ACE France,BUZZ 4S,Phone
ACE France,BUZZ 5 Pro,Phone
ACE France,BUZZ 5 Pro PLUS,Phone
ACE France,BUZZ 6 Pro,Phone
ACE France,BUZZ 7 GT,Phone
ACE France,BUZZ 7 Note,Phone
ACE France,BUZZ 7 Prime,Phone
ACE France,BUZZ 7 Prime PLUS,Phone
ACE France,BUZZ_1_Lite,Phone
ACE France,BUZZ_1_Plus,Phone
ACE France,BUZZ_3E,Phone
ACE France,URBAN 1,Phone
ACE France,URBAN 3,Phone
Acegame S.A.,NEONHD/NEONGo,Tablet
Acegame S.A.,TitaniumHD,Tablet
Acepad,A121,Tablet
Acepad,A130,Tablet
Acepad,A131,Tablet
Acepad,A131_14,Tablet
Acepad,A140,Tablet
Acepad,A145,Tablet
Acepad,A150,Tablet
Acepad,A150_14,Tablet
Acepad,A151,Tablet
Acepad,A170,Tablet
Acepad,A171_14,Tablet
Acepad,Acepad ABLE,Tablet
Acepad,Acepad_HIGH_EEA,Tablet
Acepad,AX1,Tablet
Acer,A10M1,Tablet
Acer,A10M2,Tablet
Acer,A10P2,Tablet
Acer,A11M1,Tablet
Acer,A11M2,Tablet
Acer,A11M2N,Tablet
Acer,A11P2,Tablet
Acer,A12M1N,Tablet
Acer,A12P2,Tablet
Acer,A13P2,Tablet
Acer,A14M1N,Tablet
Acer,A16M1N,Tablet
Acer,A5PLUS,Phone
Acer,A8M1,Tablet
Acer,A8M2,Tablet
Acer,A8P2,Tablet
Acer,AC50_VZ,Phone
Acer,Acer Chromebook 11 (C740),Chromebook
Acer,Acer Chromebook R13,Chromebook
Acer,Acer Iconia iM11-22M5G,Tablet
Acer,Acer Iconia Tab iM10-22,Tablet
Acer,Acer Iconia Tab iM11-12M,Tablet
Acer,Acer Iconia Tab iM9-12M,Tablet
Acer,Acer One 10 T4-129LI,Tablet
Acer,Acer One 10 T8-129L,Tablet
Acer,Acer One 7 4G,Tablet
Acer,Acer One 8 T4-82L,Tablet
Acer,Acer One 8 T4-82L,Phone
Acer,Acer One 8 T9-422L,Phone
Acer,Acer One T10-22L,Tablet
Acer,Acer One T11-22L,Tablet
Acer,Acer One T11-22L-5G,Tablet
Acer,ACER TAB V9-22,Phone
Acer,Acer_A60,Phone
Acer,Acer_A60L,Phone
Acer,Acer_A61LX,Phone
Acer,Acer_A62_ULTRA,Phone
Acer,Acer_AC50,Phone
Acer,Acer_AC81,Phone
Acer,Acer_AC92,Phone
Acer,ACER_ALTOS_EZB,Tablet
Acer,Acer_AQ9_EU,Phone
Acer,Acer_AX61,Phone
Acer,Acer_AX64,Phone
Acer,Acer_AX85,Phone
Acer,Acer_education_whiteboard,Tablet
Acer,Acer_One_10_T9-1212L,Tablet
Acer,Acer_one_8_T2,Tablet
Acer,ACTAB1021_A,Tablet
Acer,ACTAB1022,Tablet
Acer,ACTAB1024,Tablet
Acer,ACTAB1025,Tablet
Acer,ACTAB10KB24,Tablet
Acer,ACTAB1123,Tablet
Acer,ACTAB1422,Tablet
Acer,ACTAB721,Tablet
Acer,ACTAB723,Tablet
Acer,ACTAB821_A,Tablet
Acer,ACTABKID,Tablet
Acer,ARSP25MTA14A1,Phone
Acer,AS10L,Tablet
Acer,AS10W,Tablet
Acer,AS10WF,Tablet
Acer,AS8W,Tablet
Acer,ATAB1021E,Tablet
Acer,ATAB1024E,Tablet
Acer,ATAB10KB24E,Tablet
Acer,ATAB1123E,Tablet
Acer,ATAB1422E,Tablet
Acer,ATAB721E,Tablet
Acer,ATAB723E,Tablet
Acer,ATAB821E,Tablet
Acer,ATABKD1024K,Tablet
Acer,ATLTE1022,Tablet
Acer,ATLTE1022E,Tablet
Acer,Battlezone,Tablet
Acer,Battlezone LTE,Tablet
Acer,Baymax,Tablet
Acer,Chromebook 14 for work,Chromebook
Acer,Chromebook 15 (CB3-532),Chromebook
Acer,Chromebook 15 (CB5-571),Chromebook
Acer,Chromebook 15 CB515-1HT/1H,Chromebook
Acer,Chromebook R11 (C738T),Chromebook
Acer,Chromebook Tab 10,Chromebook
Acer,Frontier,Tablet
Acer,Iconia One 10,Tablet
Acer,P10M2,Tablet
Acer,P11,Tablet
Acer,Sospiro AS20WF,Tablet
Acer,Tattoo,Tablet
Acer,Ultimo,Tablet
Acer,V10M2,Tablet
Acer,V11M1,Tablet
Acer,V11M2,Tablet
Acer,V11M2-LTE,Tablet
Acer,V12M1,Tablet
Acer,V13M1,Tablet
Acer,Walle,Tablet
Acer,X12M1,Tablet
Acer,X12M2,Tablet
Acer,X14M1N,Tablet
ACER_ALTOS,ALTOS_EZA,Tablet
Achate,Kids Tab 1,Tablet
Achate,Kids_Tab_2,Tablet
Achate,KidsTab3_EEA,Tablet
Aclas,AO4,Tablet
ACTECK,AC_934312,Tablet
ADOC,ADOC  D18,Phone
ADOC,Adoc_T20,Tablet
ADOC,D30,Phone
Adreamer (Shenzhen),KidsPad10X,Tablet
Adreamer (Shenzhen),KidsPad_7,Tablet
Adreamer (Shenzhen),LeoPad 10X,Tablet
Adreamer (Shenzhen),LeoPad20,Tablet
ADVAN,ADVAN_SKETSA5,Tablet
ADVAN,ADVAN_TAB_A10,Tablet
ADVAN,ADVAN_X1,Phone
ADVAN,ADVANNASAPro,Phone
ADVAN,S50,Phone
ADVAN,Sketsa3,Tablet
ADVAN,TAB A8,Tablet
ADVAN,VX NEO,Phone
ADVAN,VX_LITE,Tablet
Advan digital,ADVAN G2 plus,Phone
Advan digital,ADVAN S50 4G,Phone
Advan digital,ADVAN_SKETSA_2,Tablet
Advan digital,E1C  4G,Phone
Advan digital,G-Tab,Tablet
Advan digital,G2 Pro,Phone
Advan digital,G3 Pro,Phone
Advan digital,G5,Phone
Advan digital,G5 Elite,Phone
Advan digital,G5 Plus,Phone
Advan digital,G9,Phone
Advan digital,GX,Phone
Advan digital,i6A,Phone
Advan digital,i6c,Phone
Advan digital,NASA,Phone
Advan digital,NASA_Plus,Phone
Advan digital,S50 Prime,Phone
Advan digital,S6 Plus,Phone
Advan digital,TAB 7,Phone
Advan digital,TAB 8,Phone
Advan digital,TAB Gallilea,Tablet
Advan digital,TAB VX,Tablet
Advan digital,TAB_10,Phone
Advan digital,TAB_A8_PLUS,Tablet
Advan digital,X7 Max,Phone
Advan digital,X7 Pro,Phone
Advan digital,XTAB,Tablet
Advance,HL9000,Phone
Advance,NP6050,Tablet
Advance,NP6070,Tablet
Advance,NP6070,Phone
Advance,Pr5650,Tablet
Advance,PR5860,Tablet
Advance,PR6149,Tablet
Advance,PR6152,Tablet
Advance,PR6152-ADV,Tablet
Advance,Pr7547,Tablet
Advance,SP3703,Tablet
Advance,SP4702,Tablet
Advance,SP4703,Tablet
Advance,SP5702,Tablet
Advance,SP5705,Tablet
Advance,SP5712,Tablet
Advance,SP5713,Tablet
Advance,Sp5730,Tablet
Advance,SP5732,Tablet
Advance,SP5736,Tablet
Advance,SP5775,Tablet
Advance,SP5776,Tablet
Advance,SP7248,Tablet
Advance,SP7348,Phone
Advance,TR3947,Tablet
Advance,Tr4986,Tablet
Advance,TR5994,Tablet
Advance,TR5996,Tablet
Advance,TR6948,Tablet
Advance,TR6985,Tablet
Advance,TR7988,Tablet
Advance,TR7989,Tablet
Advance,TR7990,Tablet
Advance,TR7998,Tablet
Advance,TR8050,Phone
Advance,TR8990,Phone
Advantage Air,PIC10GS10,Tablet
Advantage Air,PIC10GS13,Tablet
Advantage Air,PIC10GS8,Tablet
Advantage Air,PIC7GS10-A,Tablet
Advantage Air,PIC7GS13,Tablet
Advantage Air,PIC7GS8,Tablet
Advantage Air,PIC8GS10,Tablet
Advantage Air,PIC8GS12,Tablet
Advantage Air,PIC8GS8,Phone
Advantech,AIM-75,Phone
Advantech,AIM-76S,Tablet
Advantech,AIM75-WIFI,Phone
Advent,SB11MD1,Tablet
AEEZO,TK701,Tablet
AEEZO,TK701_EEA,Tablet
AEEZO,TK801,Tablet
AEEZO,TK806,Tablet
AEEZO,TK806_EEA,Tablet
AEEZO,TK809,Tablet
AEEZO,TK809_EEA,Tablet
AEEZO,TP1001,Tablet
AEEZO,TP901,Tablet
AFRICELL,S10,Phone
AfriOne,CYGNUSX,Phone
AG Mobile,AGM A10,Phone
AG Mobile,AGM A9,Phone
AG Mobile,AGM X3,Phone
AG Mobile,AGM_G3,Phone
AG_Neovo,MeetBoard_4,Tablet
AGM Mobile,AGM Glory G1,Phone
AGM Mobile,AGM Glory_G1S,Phone
AGM Mobile,AGM H3,Phone
AGM Mobile,AGM H5,Phone
AGM Mobile,AGM_H5_PRO,Phone
AGM Mobile,AGM_H6,Phone
AGM Mobile,AGM_H_MAX,Phone
AGM Mobile,AGM_Note_N1,Phone
AGM Mobile,AGM_PAD_P1,Tablet
AGM Mobile,AGM_PAD_P2,Tablet
AGM Mobile,AGM_PAD_P2W_EEA,Tablet
AGM Mobile,AGM_PAD_T1,Tablet
AGM Mobile,AGM_PAD_T1_WIFI,Tablet
AGM Mobile,AGM_PAD_T2,Tablet
AGM Mobile,AGM_PAD_T3,Tablet
AGM Mobile,AGM_X6,Phone
AGM Mobile,Android_Tablet,Tablet
AGNeovo,AGNeovo,Tablet
AGNO,TAIG717A,Tablet
AHA(A),AHA_IFPD,Tablet
AHA(A),IFPD,Tablet
ahlo,1,Phone
AIDATA,ADT-R10TME,Tablet
AIDATA,ADT1012L,Tablet
AIDATA,ADT1061,Tablet
AIDATA,ADT1061_1,Tablet
AIDATA,ADT_1061,Tablet
aigo,A16,Tablet
aigo,A16pro,Tablet
Ainmel,A10S_EEA,Tablet
Ainmel,KB08_EEA,Tablet
Ainmel,KB1001_EEA,Tablet
Ainmel,KB1003_EEA,Tablet
Ainmel,KB1004A_EEA,Tablet
Ainmel,KB1004S_EEA,Tablet
Ainmel,KB1005,Tablet
Ainuevo,Ainuevo Neo S25 Pro,Phone
AIPLUS,AI+ Nova 1 5G,Phone
AIPLUS,AI+ Nova 2 5G,Phone
AIPLUS,AI+ NxtFlip 5G,Phone
AIPLUS,AI+ Pulse 1,Phone
AIPLUS,AI+ Pulse 2 4G,Phone
Airpha,Halo4,Phone
Airpha,Halo4 Pro,Phone
Airpha,Sense2,Phone
Airtel,H6682_Airtel_DRC,Phone
AirTouch,AirTouch5,Tablet
AirTouch,AirTouch5n,Tablet
Aiuto,AT1002,Tablet
Aiuto,AT702,Tablet
Aiwa,A81,Phone
Aiwa,AW-P,Tablet
Aiwa,AW_TAB10_14,Tablet
Aiwa,AWM539,Phone
Aiwa,AWM999,Phone
Aiwa,AWPM106A,Tablet
Aiwa,AWPM108T,Tablet
Aiwa,AWPP101AW,Tablet
Aiwa,AWPP86AW,Tablet
Aiwa,AWT10H,Tablet
Aiwa,JA2-SMP0601,Phone
Aiwa,JA2-TBA0801,Tablet
Aiwa,JA2-TBA1001,Tablet
Aiwa,JA2-TBA1002,Tablet
Aiwa,JA3-SMP0602,Phone
Aiwa,JA3-TBA0802,Tablet
Aiwa,JA3-TBA1005,Tablet
Aiwa,JA3-TBA1006-4,Tablet
Aiwa,JA3-TBA1006-6,Tablet
Aiwa,JA3-TBA1007,Tablet
Aiwa,JA4-TBA1008,Tablet
Aiwa,JA4-TBA1009,Tablet
Aiwa,JA4-TBA1101,Tablet
Aiwa,JA5-TBA1011,Tablet
Aiwa,JA5-TBA1012,Tablet
Aiwa,JA5-TBA1102,Tablet
Aiwa,JA5-TBA1201,Tablet
Aiwa,TA-07-232,Tablet
Aiwa,TA-10-232,Tablet
Aiwa,TA10-SO10,Tablet
Aiwa,TAB-1100,Tablet
Aiwa,TAB-1102,Tablet
Aiwa,TAB-1103,Tablet
Aiwa,TAB_1003G,Tablet
Aiwa,TABLETAWTH801,Tablet
ajib,ajib l1,Phone
ajib,ajib X1,Phone
ajib,ajib_i10,Phone
ajib,i15,Phone
ajib,i25,Phone
Akai,MD1063,Tablet
Akai,SP5504G,Phone
AKUVOX,S567,Tablet
AKUVOX,X937,Tablet
Alba,Alba10Nou,Tablet
Alba,Alba10Pie,Tablet
Alba,Alba10Q,Tablet
Alba,Alba7Nou,Tablet
Alba,Alba7Pie,Tablet
Alba,Alba7Q,Tablet
Alba,Alba8Nou,Tablet
Alco,RCT6613W23PG,Tablet
Alco,VCT9B06Q23EU_eea,Tablet
Alco,VCT9T48Q34,Tablet
Alco,Voyager Pro,Tablet
Aldo Mobile,T10S,Tablet
Aldo Mobile,T7Q-4G,Phone
Aligator,'Aligator_S5550,Phone
Aligator,ALIGATOR RX800,Phone
Aligator,ALIGATOR S5520,Phone
Aligator,ALIGATOR S5540,Phone
Aligator,ALIGATOR S6000,Phone
Aligator,ALIGATOR S6500,Phone
Aligator,ALIGATOR_RX710_EEA,Phone
Aligator,Aligator_S6100,Phone
Aligator,Aligator_S6550,Phone
Aligator,Aligator_S6600,Phone
Aligator,Aligator_S6700,Phone
Aligator,Aligator_S8000,Phone
Aligator,RX700,Phone
Aligator,RX850,Phone
Aligator,S5710,Phone
AllCall,AllCall_S1_X,Phone
AllCall,HERO_20_PRO,Phone
AllCall,S5500,Phone
Alldocube,iPlay 20P,Phone
Alldocube,iPlay 20S,Tablet
Alldocube,iPlay 40H,Tablet
Alldocube,iPlay 50,Tablet
Alldocube,iPlay 50S,Tablet
Alldocube,iPlay 60 Pad Pro,Tablet
Alldocube,iPlay 70 Max Pro,Tablet
Alldocube,iPlay 70 Max Pro 5G,Tablet
Alldocube,iPlay 70 SE,Phone
Alldocube,iPlay 70E,Tablet
Alldocube,iPlay 8 Pro,Tablet
Alldocube,iPlay 80 miniUltra,Tablet
Alldocube,iPlay 8T,Phone
Alldocube,iPlay50,Tablet
Alldocube,iPlay50 Pro,Tablet
Alldocube,iPlay50_Lite,Tablet
Alldocube,iPlay50_Mini_Lite,Tablet
Alldocube,iPlay50_mini_Pro,Phone
Alldocube,iPlay50S,Tablet
Alldocube,iPlay60_mini,Tablet
Alldocube,iPlay60_mini_Pro,Tablet
Alldocube,iPlay60_mini_Turbo,Tablet
Alldocube,iPlay60_Pro,Tablet
Alldocube,iPlay60_S,Phone
Alldocube,iPlay60_S_4G,Phone
Alldocube,iPlay70,Tablet
Alldocube,iPlay9T,Tablet
Alldocube,iPlay_20,Tablet
Alldocube,iPlay_30,Phone
Alldocube,iPlay_40,Tablet
Alldocube,iPlay_40_5G,Tablet
Alldocube,iPlay_50_Pro,Tablet
Alldocube,iPlay_60,Phone
Alldocube,iPlay_60_Lite,Phone
Alldocube,iPlay_70_mini_Ultra,Tablet
Alldocube,iPlay_70_Pad_Pro,Tablet
Alldocube,iPlay_70_Pro,Tablet
Alldocube,iPlay_70_S,Tablet
Alldocube,iPlay_70_Ultra,Tablet
Alldocube,Kido,Phone
Alldocube,KidzPad Pro,Phone
Alldocube,kPad,Tablet
Alldocube,Smile_1,Tablet
Alldocube,Smile_X,Tablet
Alldocube,T1021P,Phone
Alldocube,T1021T,Tablet
Alldocube,T701,Phone
Alldocube,T701_X,Phone
Alldocube,T806,Tablet
Alldocube,U1005,Tablet
Alldocube,U1005E,Tablet
Alldocube,U1006,Tablet
Alldocube,U1006E,Tablet
Alldocube,U1006H,Tablet
Alldocube,U63PLUS,Phone
Alldocube,X game,Tablet
Allnet,PrimeOne,Tablet
AllView,A10 Lite 2019,Phone
AllView,A10 Max,Phone
AllView,A20 Lite,Phone
AllView,A20 Max,Phone
AllView,A30 MAX,Phone
AllView,A30_Plus,Phone
AllView,AX503,Phone
AllView,P10 Max,Phone
AllView,P10 Pro,Phone
AllView,Prime_H201_LTE_EEA,Tablet
AllView,V10 Viper,Phone
AllView,V10 Viper Lite,Phone
AllView,V3 Viper,Phone
AllView,V4 Viper,Phone
AllView,V4 Viper PRO,Phone
AllView,V5 Viper,Phone
AllView,Viva  H1003 LTE,Tablet
AllView,Viva 1003G,Tablet
AllView,Viva 1003G Lite,Tablet
AllView,Viva 803G,Phone
AllView,Viva C1004,Tablet
AllView,Viva H1003 LTE PRO/1,Tablet
AllView,Viva H1003 LTE PRO/1-64GB,Tablet
AllView,Viva H1003 LTE PRO/B6,Tablet
AllView,Viva H1003 LTE PRO3,Tablet
AllView,Viva H1004 LTE,Tablet
AllView,Viva_Play_804_EEA,Tablet
AllView,X10_Soul_EEA,Phone
AllView,X10_Soul_Lite,Phone
AllView,X20_Soul_EEA,Phone
AllView,X4 Soul Infinity N,Phone
AllView,X5 Soul Mini,Phone
AllView,X5 Soul Pro,Phone
AllView,X5_Soul,Phone
AllView,X5_Soul_Style,Phone
AllView,X6 Soul mini,Phone
AllView,X6 Soul Xtreme,Phone
AllView,X7 Soul Style,Phone
AllView,X7_Soul_Pro_EEA,Phone
AllView,X8 PRO,Phone
AllView,X8 Soul Style,Phone
Alpha,T1_Pro,Phone
ALPHA_LING,A97GT,Tablet
ALPHA_LING,A97GT_Pro,Tablet
ALPHA_LING,P10SU_PLUS,Tablet
ALPHAWOLF,A1,Tablet
ALPHAWOLF,A2,Tablet
ALPHAWOLF,L2,Tablet
ALPHAWOLF,L2S,Tablet
ALPHAWOLF,L3,Tablet
ALPHAWOLF,L3A,Tablet
ALPHAWOLF,P2,Tablet
ALPINE,INE-AX809,Tablet
ALPINE,Intelligent vehicle network system,Tablet
ALT(IN),L1,Phone
ALT.mive,Kids Phone,Phone
ALT.mive,Kids Phone 2,Phone
ALT.mive,Style Folder,Phone
ALT.mive,Style Folder 2,Phone
Altice,AlTICE S11,Phone
Altice,AlTICE S12,Phone
Altice,ALTICE S43,Phone
Altice,E25,Phone
Altice,E54,Phone
Altice,S13,Phone
Altice,S14,Phone
Altice,S22,Phone
Altice,S23,Phone
Altice,S24,Phone
Altice,S25,Phone
Altice,S32,Phone
Altice,S32_NFC,Phone
Altice,S32_Plus,Phone
Altice,S33,Phone
Altice,S34,Phone
Altice,S42,Phone
Altice,S61,Phone
Altice,S64,Phone
Altron,BE-730,Tablet
Altron,GI-530,Phone
Altron,OB-1021,Tablet
Altron,OB-728,Tablet
Altron,OB_588,Phone
Altron,OB_628,Phone
AMG-Smartphone,AMG_WR24,Phone
AMGx13e,ASPE2201,Phone
AMobile,PD470,Phone
AMobile,PD602,Phone
amulet7,P10SU_Plus,Tablet
amulet7,P10SU_Pro,Tablet
Andersson,tablet,Tablet
Andersson,TBX10,Tablet
Andersson,TBX11,Tablet
ANFU,AF930,Phone
AngelTech,ATKSLIM,Tablet
AngelTech,E109GCM,Tablet
AngelTech,E80M,Tablet
AngelTech,P80,Phone
AngelTech,PRO_II_16,Tablet
ANS,L51,Phone
ANTEMPE,D115_EEA,Tablet
ANTEMPER,D136_EEA,Tablet
ANXONIT,AnPad_U2,Tablet
Anya,Anya_S558,Phone
anyway-go,Anya_S5U,Phone
anyway-go,TP1040,Tablet
AOC,M10c,Tablet
AOC,Q10107L-ME,Tablet
AOC,Q10107LW-ME,Tablet
AOC,Q8108L-ME,Tablet
Aocwei,X300,Tablet
Aocwei,X300_EEA,Tablet
Aocwei,X300_EEA_T,Tablet
Aocwei,X300_T,Tablet
Aocwei,X500_EEA,Tablet
Aocwei,X500_T_EEA,Tablet
Aocwei,X500_US,Tablet
Aocwei,X700_EEA,Tablet
Aocwei,X800_EEA,Tablet
Aocwei,X800_US,Tablet
Aocwei,X900-US,Phone
Aocwei,X900_EEA,Tablet
Aocwei,X900_US,Tablet
AoGo,AoGo1,Tablet
AOpen,"RK3288 10"" Chromebase",Chromebook
AOpen,RK3288 Mini Chromebox,Chromebook
AORLYM,P10,Tablet
AORLYM,P10 Kid,Tablet
AORLYM,P10 Pro,Tablet
AORLYM,P11,Tablet
AORLYM,P11 Pro,Tablet
AORLYM,P12,Tablet
AORLYM,P12 Pro,Tablet
AORLYM,P13,Tablet
AORLYM,P13 Pro,Tablet
AOSKEY,F11,Tablet
AOSKEY,P21,Tablet
AOYODKG,M50,Tablet
AOYODKG,M50_EEA,Tablet
APD_Spain,APD_REGGIO,Tablet
Apex,A11D,Tablet
Apex,P10HD_Lite,Tablet
Apex,R10D,Tablet
Apex,T40PRO_L1,Tablet
Apex,U10,Tablet
Apex,U10PRO,Tablet
Apex,Z12_PRO,Tablet
Apex,Z4PRO,Tablet
Apolosign,DigitalCalendar,Tablet
Apolosign,DigitalSignage,Tablet
Apolosign,DigitalSignageFA2169T,Tablet
Apolosign,DigitalSignageFA2769T,Tablet
Apolosign,DigitalSignageFA2769T4K,Tablet
Apolosign,elcnw tablet,Tablet
Apolosign,EM101A,Tablet
Apolosign,EM101C,Tablet
Apolosign,EM103A,Tablet
Apolosign,EP103B,Tablet
Apolosign,EP1095_T,Tablet
Apolosign,EP1095T_EEA,Tablet
Apolosign,EP1495T,Tablet
Apolosign,K103_A,Tablet
Apolosign,K103_B,Tablet
Apolosign,K106_A,Tablet
Apolosign,K106A,Tablet
Apolosign,K109_Pro,Tablet
Apolosign,K109A,Tablet
Apolosign,K709A,Tablet
Apolosign,Packgo,Tablet
Apolosign,PackgoAP2718T,Tablet
Apolosign,PortableTV,Tablet
Apolosign,PortableTVSW3299TFHD,Tablet
Apolosign,WF1589T,Tablet
Apolosign,WF2189T,Tablet
Apolosign,WF2489T,Tablet
Apolosign,WF3289T,Tablet
Aprix,Tab1066,Tablet
Aprix,Tab_X2,Tablet
Aprix,TabX4,Tablet
AQHH,A75,Tablet
ARATEK,Marshall-5,Phone
ARATEK,Marshall-5S,Phone
ARATEK,Marshall-8,Tablet
ARBOR,G47,Phone
ARBOR,GT78-VN,Phone
Archos,AC101XPro4G,Tablet
Archos,act101hd,Tablet
Archos,act101hd3,Tablet
Archos,act101hdp,Tablet
Archos,act101hdwf,Tablet
Archos,ACT101WF,Tablet
Archos,ARCHOS,Tablet
Archos,Archos,Phone
Archos,Archos 101 Oxygen 4G,Tablet
Archos,Archos Access 101 3G V3,Tablet
Archos,Archos Access 101 Wifi v2,Tablet
Archos,Archos Access 50S 4G,Phone
Archos,Archos Access 57 4G,Phone
Archos,Archos Access 70 Wifi,Phone
Archos,Archos Core 101 3G V4,Tablet
Archos,Archos Core 62S,Phone
Archos,Archos Hello 5,Phone
Archos,Archos Hello 7,Tablet
Archos,Archos Oxygen 101S,Tablet
Archos,Archos Oxygen 101S Ardoiz,Tablet
Archos,Archos Oxygen 57,Phone
Archos,Archos Oxygen 63,Phone
Archos,ARCHOS T101 4G,Tablet
Archos,ARCHOS T101HD 4G,Tablet
Archos,Archos T101X 4G,Tablet
Archos,ARCHOS T96 3G_EEA,Tablet
Archos,ARCHOS T96 WIFI_EEA,Tablet
Archos,AT101FHD2WF_EEA,Tablet
Archos,AWACT80HDWF_EEA,Tablet
Archos,SPAC101SOXUL_EEA,Tablet
Archos,SPACT101FHD4G,Tablet
Archos,SPACT101HD24G_EEA,Tablet
Archos,SPACT105FHD4G_EEA,Tablet
Archos,SPACT105FHDWFUL_EEA,Tablet
Archos,SPACT110FHD4GULTRA_EEA,Tablet
Archos,SPAT101FHDW_EEA,Tablet
Archos,SPAZA101SOXUL_EEA,Tablet
Archos,X18_Ultra,Tablet
Archos,X67 5G,Phone
Arirang,ATPA801_1,Tablet
Arival,BioniQP116,Tablet
Ark,Benefit_M9,Phone
Arknikko,MemoPad_T3,Tablet
Arknikko,Memopad_T4,Tablet
Arknikko,SophPad_X22,Tablet
ARMADILOS,Listo22,Phone
Aroot,AM-F2000N,Phone
Artel,Artel Air,Phone
Artel,Artel Quadro,Phone
Artel,Artel Quadro Pro,Phone
Artel,Artel Tesla,Phone
Artel,Artel Tomchi,Phone
Artel,Artel_Premium,Phone
Artel,Artel_T10,Phone
Artel,GAP YOQ,Phone
Artel,GAPYOQ,Phone
Artel,U3 4G,Phone
Artia,Artia SP545C,Phone
ARTRAN,ARTRAN _EI101F,Tablet
ARTRAN,AZ101F,Tablet
ARTRAN,IB101F_Pro,Tablet
ARTRAN,IB119Q,Tablet
ARTRAN,IB868H,Tablet
ARTRAN,IB868H_A,Tablet
ARTRAN,LI109Q,Tablet
AS_ELECTRONICS,AS1,Phone
Asanzo,S6,Phone
Ascom,Ascom Myco 3,Phone
Ascom,Ascom Myco 4,Phone
ascon,AT14,Tablet
Ashtel,RAVOZ Z5 Lite,Phone
Ashtel,RAVOZ_Z5,Phone
Aspera,A45,Phone
Aspera,AS-10,Phone
Aspera,AS5,Phone
Aspera,AS57,Phone
Aspera,AS6,Phone
Aspera,AS7,Phone
Aspera,AS8,Phone
Aspera,AS9,Phone
Aspera,ASPERA R9,Phone
Aspera,Aspera_Nitro,Phone
Aspera,ASPERA_R10,Phone
Aspera,Breeze,Phone
Aspera,Buzz,Phone
Aspera,e-Chat,Phone
Aspera,GEM,Phone
Aspera,Jazz_2,Phone
Aspera,Nitro2,Phone
ASTECH,Astech NEO,Phone
ASTECH,Astech S7,Phone
ASTECH,Astech S7 pro,Phone
ASTECH,Astech_IRIS,Phone
ASTECH,Astech_S8,Phone
ASTECH,Astech_S9,Phone
ASTON,Hyper_Max_Power,Tablet
ASTREX,VegaPro,Phone
ASTREX,Victory,Tablet
ASTREX,VictoryPro,Tablet
Astro mobile,Smart _A1_Plus,Phone
Astro_Tab,DCG-P10,Tablet
Astrom,AST707G,Phone
Asus,ASUS Chromebook Flip C302,Chromebook
Asus,Chromebook C202SA/C300SA/C301SA,Chromebook
